NÚMERO DO PROTOCOLO,FINALIZAÇÃO,TMO ORIGINAL,TMO AJUSTADO
20250502-009-3209120,ATUALIZADO,0 days 00:02:23,0 days 00:03:00
20250402-009-2941000,ATUALIZADO,0 days 00:02:23,0 days 00:03:00
20250325-009-2868136,ATUALIZADO,0 days 00:02:48,0 days 00:03:00
20250220-009-2612738,ATUALIZADO,0 days 00:22:20,0 days 00:15:00
20250605-009-3564103,ATUALIZADO,0 days 00:02:46,0 days 00:03:00
20250402-009-2940966,ATUALIZADO,0 days 00:18:07,0 days 00:15:00
20250324-009-2852713,ATUALIZADO,0 days 00:00:32,0 days 00:03:00
20250310-009-2736301,ATUALIZADO,0 days 00:01:23,0 days 00:03:00
20250604-009-3551726,ATUALIZADO,0 days 00:01:40,0 days 00:03:00
20250625-009-3768766,ATUALIZADO,0 days 00:02:14,0 days 00:03:00
20250321-009-2840795,ATUALIZADO,0 days 00:01:54,0 days 00:03:00
20250520-009-3378803,ATUALIZADO,0 days 00:02:51,0 days 00:03:00
20250516-009-3344819,CADASTRADO,0 days 08:27:21,0 days 02:00:00
20250529-009-3489723,ATUALIZADO,0 days 00:01:34,0 days 00:03:00
20250609-009-3599093,CADASTRADO,0 days 00:18:31,0 days 00:20:00
20250509-009-3280264,ATUALIZADO,0 days 00:02:57,0 days 00:03:00
20250327-009-2891862,CADASTRADO,0 days 00:04:06,0 days 00:20:00
20250505-009-3214636,CADASTRADO,0 days 00:11:24,0 days 00:20:00
20250312-009-2759556,ATUALIZADO,0 days 00:02:38,0 days 00:03:00
20250626-009-3775559,CADASTRADO,0 days 00:09:16,0 days 00:20:00
20250325-009-2863475,ATUALIZADO,0 days 00:02:10,0 days 00:03:00
20250527-009-3460145,CADASTRADO,0 days 00:12:06,0 days 00:20:00
20250211-009-2518632,CADASTRADO,0 days 00:13:07,0 days 00:20:00
20250613-009-3657785,ATUALIZADO,0 days 00:02:58,0 days 00:03:00
20250604-009-3549507,ATUALIZADO,0 days 00:27:48,0 days 00:15:00
20250410-009-3018403,ATUALIZADO,0 days 00:02:02,0 days 00:03:00
20250430-009-3185983,ATUALIZADO,0 days 00:02:30,0 days 00:03:00
20250508-009-3270306,CADASTRADO,0 days 00:17:02,0 days 00:20:00
20250416-009-3075162,CADASTRADO,0 days 00:09:32,0 days 00:20:00
20250227-009-2673387,ATUALIZADO,0 days 00:01:35,0 days 00:03:00
20250407-009-2978249,ATUALIZADO,0 days 00:02:19,0 days 00:03:00
20250623-009-3741916,ATUALIZADO,0 days 00:02:29,0 days 00:03:00
20250311-009-2746668,ATUALIZADO,0 days 00:02:45,0 days 00:03:00
20250611-009-3632442,ATUALIZADO,0 days 00:01:57,0 days 00:03:00
20250203-009-2445264,CADASTRADO,0 days 00:18:14,0 days 00:20:00
20250328-009-2900791,CADASTRADO,0 days 00:15:13,0 days 00:20:00
20250410-009-3023881,ATUALIZADO,0 days 00:20:22,0 days 00:15:00
20250529-009-3487631,ATUALIZADO,0 days 00:15:35,0 days 00:15:00
20250403-009-2956124,ATUALIZADO,0 days 00:02:18,0 days 00:03:00
20250605-009-3563806,ATUALIZADO,0 days 00:00:24,0 days 00:03:00
20250214-009-2561685,ATUALIZADO,0 days 00:02:56,0 days 00:03:00
20250612-009-3644119,CADASTRADO,0 days 00:14:12,0 days 00:20:00
20250121-009-2336776,ATUALIZADO,0 days 00:25:21,0 days 00:15:00
20250428-009-3162009,ATUALIZADO,0 days 00:21:26,0 days 00:15:00
20250606-009-3581097,ATUALIZADO,0 days 00:02:31,0 days 00:03:00
20250612-009-3642122,ATUALIZADO,0 days 00:02:17,0 days 00:03:00
20250507-009-3249967,ATUALIZADO,0 days 00:01:42,0 days 00:03:00
20250320-009-2830517,ATUALIZADO,0 days 00:02:23,0 days 00:03:00
20250425-009-3150897,ATUALIZADO,0 days 00:02:55,0 days 00:03:00
20250523-009-3420671,ATUALIZADO,0 days 00:02:42,0 days 00:03:00
20250210-009-2507248,CADASTRADO,0 days 00:15:04,0 days 00:20:00
20250212-009-2532448,ATUALIZADO,0 days 00:02:09,0 days 00:03:00
20250623-009-3742003,ATUALIZADO,0 days 00:02:55,0 days 00:03:00
20250508-009-3270370,ATUALIZADO,0 days 00:02:54,0 days 00:03:00
20250314-009-2781807,ATUALIZADO,0 days 00:02:57,0 days 00:03:00
20250401-009-2932215,CADASTRADO,0 days 00:05:58,0 days 00:20:00
20250624-009-3750268,CADASTRADO,0 days 00:10:39,0 days 00:20:00
20250224-009-2640396,CADASTRADO,0 days 00:16:47,0 days 00:20:00
20250331-009-2906921,ATUALIZADO,0 days 00:02:36,0 days 00:03:00
20250311-009-2745673,ATUALIZADO,0 days 00:02:35,0 days 00:03:00
20250602-009-3521228,ATUALIZADO,0 days 00:01:47,0 days 00:03:00
20250213-009-2550242,ATUALIZADO,0 days 00:02:32,0 days 00:03:00
20250602-009-3525020,CADASTRADO,0 days 02:21:39,0 days 02:00:00
20250527-009-3460138,CADASTRADO,0 days 00:09:26,0 days 00:20:00
20250610-009-3616836,ATUALIZADO,0 days 00:01:41,0 days 00:03:00
20250331-009-2906968,ATUALIZADO,0 days 00:23:01,0 days 00:15:00
20250428-009-3161944,ATUALIZADO,0 days 00:02:55,0 days 00:03:00
20250212-009-2538889,ATUALIZADO,0 days 00:02:42,0 days 00:03:00
20250409-009-3002491,ATUALIZADO,0 days 00:02:09,0 days 00:03:00
20250212-009-2540208,CADASTRADO,0 days 00:18:55,0 days 00:20:00
20250414-009-3051499,ATUALIZADO,0 days 00:01:58,0 days 00:03:00
20250522-009-3406784,ATUALIZADO,0 days 00:22:09,0 days 00:15:00
20250516-009-3354787,ATUALIZADO,0 days 00:02:45,0 days 00:03:00
20250605-009-3564105,ATUALIZADO,0 days 00:02:40,0 days 00:03:00
20250221-009-2623869,CADASTRADO,0 days 00:17:15,0 days 00:20:00
20250401-009-2923803,ATUALIZADO,0 days 00:19:04,0 days 00:15:00
20250526-009-3449294,ATUALIZADO,0 days 00:02:13,0 days 00:03:00
20250620-009-3721505,ATUALIZADO,0 days 00:02:52,0 days 00:03:00
20250429-009-3179490,CADASTRADO,0 days 00:10:25,0 days 00:20:00
20250625-009-3765317,CADASTRADO,0 days 00:11:40,0 days 00:20:00
20250416-009-3078323,ATUALIZADO,0 days 00:02:20,0 days 00:03:00
20250404-009-2964520,ATUALIZADO,0 days 00:02:13,0 days 00:03:00
20250514-009-3317425,ATUALIZADO,0 days 00:02:34,0 days 00:03:00
20250625-009-3765388,ATUALIZADO,0 days 00:02:14,0 days 00:03:00
20250407-009-2980791,ATUALIZADO,0 days 00:02:00,0 days 00:03:00
20250226-009-2659756,ATUALIZADO,0 days 00:02:51,0 days 00:03:00
20250301-009-2689914,CADASTRADO,0 days 00:08:08,0 days 00:20:00
20250225-009-2650869,ATUALIZADO,0 days 00:02:01,0 days 00:03:00
20250324-009-2852722,ATUALIZADO,0 days 00:01:30,0 days 00:03:00
20250214-009-2561735,CADASTRADO,0 days 00:08:15,0 days 00:20:00
20250605-009-3565294,ATUALIZADO,0 days 00:02:53,0 days 00:03:00
20250306-009-2715348,CADASTRADO,0 days 00:10:34,0 days 00:20:00
20250313-009-2769536,ATUALIZADO,0 days 00:02:55,0 days 00:03:00
20250623-009-3741968,ATUALIZADO,0 days 00:02:28,0 days 00:03:00
20250213-009-2543415,CADASTRADO,0 days 00:10:28,0 days 00:20:00
20250204-009-2456678,ATUALIZADO,0 days 00:41:01,0 days 00:15:00
20250217-009-2575948,ATUALIZADO,0 days 00:01:06,0 days 00:03:00
20250213-009-2552323,ATUALIZADO,0 days 00:21:34,0 days 00:15:00
20250320-009-2828799,ATUALIZADO,0 days 00:18:55,0 days 00:15:00
20250602-009-3516202,ATUALIZADO,0 days 00:02:56,0 days 00:03:00
20250513-009-3309066,CADASTRADO,0 days 00:14:10,0 days 00:20:00
20250414-009-3058332,ATUALIZADO,0 days 00:02:55,0 days 00:03:00
20250311-009-2749538,ATUALIZADO,0 days 00:02:59,0 days 00:03:00
20250522-009-3413503,ATUALIZADO,0 days 00:02:41,0 days 00:03:00
20250325-009-2868028,CADASTRADO,0 days 00:13:08,0 days 00:20:00
20250423-009-3121003,CADASTRADO,0 days 00:13:58,0 days 00:20:00
20250522-009-3409299,ATUALIZADO,0 days 00:01:57,0 days 00:03:00
20250604-009-3554962,CADASTRADO,0 days 00:17:47,0 days 00:20:00
20250224-009-2639571,CADASTRADO,0 days 00:12:11,0 days 00:20:00
20250501-009-3199257,ATUALIZADO,0 days 00:15:09,0 days 00:15:00
20250627-009-3791986,ATUALIZADO,0 days 00:02:20,0 days 00:03:00
20250430-009-3188082,ATUALIZADO,0 days 00:23:53,0 days 00:15:00
20250609-009-3589841,CADASTRADO,0 days 00:13:08,0 days 00:20:00
20250501-009-3198497,CADASTRADO,0 days 00:09:28,0 days 00:20:00
20250415-009-3061650,CADASTRADO,0 days 00:18:58,0 days 00:20:00
20250224-009-2641005,ATUALIZADO,0 days 00:02:30,0 days 00:03:00
20250502-009-3201444,ATUALIZADO,0 days 00:17:41,0 days 00:15:00
20250227-009-2671451,ATUALIZADO,0 days 01:13:11,0 days 00:15:00
20250313-009-2769097,ATUALIZADO,0 days 00:02:27,0 days 00:03:00
20250328-009-2900561,CADASTRADO,0 days 00:00:18,0 days 00:20:00
20250311-009-2746683,ATUALIZADO,0 days 00:02:23,0 days 00:03:00
20250606-009-3577561,ATUALIZADO,0 days 00:02:47,0 days 00:03:00
20250421-009-3105499,CADASTRADO,0 days 00:06:58,0 days 00:20:00
20250516-009-3354725,ATUALIZADO,0 days 00:02:37,0 days 00:03:00
20250430-009-3188025,ATUALIZADO,0 days 00:02:23,0 days 00:03:00
20250218-009-2586374,CADASTRADO,0 days 00:09:42,0 days 00:20:00
20250605-009-3570038,CADASTRADO,0 days 00:17:47,0 days 00:20:00
20250225-009-2645492,CADASTRADO,0 days 00:04:25,0 days 00:20:00
20250402-009-2944018,CADASTRADO,0 days 00:14:27,0 days 00:20:00
20250327-009-2887680,CADASTRADO,0 days 00:17:33,0 days 00:20:00
20250422-009-3115484,CADASTRADO,0 days 00:02:01,0 days 00:20:00
20250519-009-3363300,ATUALIZADO,0 days 00:02:10,0 days 00:03:00
20250324-009-2857520,ATUALIZADO,0 days 00:36:53,0 days 00:15:00
20250410-009-3024307,ATUALIZADO,0 days 00:02:30,0 days 00:03:00
20250116-009-2293513,ATUALIZADO,0 days 00:19:37,0 days 00:15:00
20250510-009-3282316,CADASTRADO,0 days 00:11:16,0 days 00:20:00
20250220-009-2616305,ATUALIZADO,0 days 00:02:21,0 days 00:03:00
20250320-009-2827904,CADASTRADO,0 days 00:13:28,0 days 00:20:00
20250211-009-2514802,ATUALIZADO,0 days 00:25:42,0 days 00:15:00
20250611-009-3624304,ATUALIZADO,0 days 00:02:01,0 days 00:03:00
20250523-009-3429880,CADASTRADO,0 days 00:18:30,0 days 00:20:00
20250528-009-3469392,ATUALIZADO,0 days 00:02:02,0 days 00:03:00
20250402-009-2934568,ATUALIZADO,0 days 00:02:07,0 days 00:03:00
20250414-009-3055967,ATUALIZADO,0 days 00:02:37,0 days 00:03:00
20250610-009-3606734,ATUALIZADO,0 days 00:02:58,0 days 00:03:00
20250327-009-2891847,CADASTRADO,0 days 00:10:13,0 days 00:20:00
20250317-009-2794146,ATUALIZADO,0 days 00:02:42,0 days 00:03:00
20250528-009-3469353,ATUALIZADO,0 days 00:18:11,0 days 00:15:00
20250522-009-3406726,ATUALIZADO,0 days 00:02:47,0 days 00:03:00
20250219-009-2595711,ATUALIZADO,0 days 00:02:19,0 days 00:03:00
20250326-009-2880183,ATUALIZADO,0 days 00:02:09,0 days 00:03:00
20250602-009-3516207,ATUALIZADO,0 days 00:02:21,0 days 00:03:00
20250626-009-3776368,ATUALIZADO,0 days 00:02:45,0 days 00:03:00
20250423-009-3123860,ATUALIZADO,0 days 00:15:57,0 days 00:15:00
20250612-009-3639913,ATUALIZADO,0 days 00:02:56,0 days 00:03:00
20250321-009-2838541,ATUALIZADO,0 days 00:02:27,0 days 00:03:00
20250217-009-2575956,ATUALIZADO,0 days 00:01:47,0 days 00:03:00
20250618-009-3709222,ATUALIZADO,0 days 00:02:45,0 days 00:03:00
20250616-009-3679063,ATUALIZADO,0 days 00:02:27,0 days 00:03:00
20250611-009-3632581,CADASTRADO,0 days 04:08:22,0 days 02:00:00
20250516-009-3346593,ATUALIZADO,0 days 00:02:37,0 days 00:03:00
20250307-009-2721192,ATUALIZADO,0 days 00:02:33,0 days 00:03:00
20250224-009-2640990,ATUALIZADO,0 days 00:02:45,0 days 00:03:00
20250613-009-3658883,ATUALIZADO,0 days 00:02:41,0 days 00:03:00
20250610-009-3604350,CADASTRADO,0 days 00:09:50,0 days 00:20:00
20250207-009-2495096,ATUALIZADO,0 days 00:02:09,0 days 00:03:00
20250507-009-3247425,ATUALIZADO,0 days 00:02:24,0 days 00:03:00
20250508-009-3258630,ATUALIZADO,0 days 00:02:39,0 days 00:03:00
20250404-009-2963772,CADASTRADO,0 days 00:09:17,0 days 00:20:00
20250604-009-3554722,ATUALIZADO,0 days 00:02:40,0 days 00:03:00
20250416-009-3075130,ATUALIZADO,0 days 00:02:29,0 days 00:03:00
20250529-009-3489725,ATUALIZADO,0 days 00:01:58,0 days 00:03:00
20250506-009-3233054,ATUALIZADO,0 days 00:02:37,0 days 00:03:00
20250617-009-3681904,CADASTRADO,0 days 00:18:56,0 days 00:20:00
20250409-009-3002564,ATUALIZADO,0 days 00:02:25,0 days 00:03:00
20250221-009-2623961,ATUALIZADO,0 days 00:02:13,0 days 00:03:00
20250428-009-3163473,CADASTRADO,0 days 00:16:23,0 days 00:20:00
20250602-009-3513031,CADASTRADO,0 days 00:12:50,0 days 00:20:00
20250617-009-3693316,ATUALIZADO,0 days 00:02:54,0 days 00:03:00
20250522-009-3406781,ATUALIZADO,0 days 00:44:03,0 days 00:15:00
20250528-009-3468744,CADASTRADO,0 days 00:17:09,0 days 00:20:00
20250530-009-3497054,ATUALIZADO,0 days 00:02:37,0 days 00:03:00
20250219-009-2602353,ATUALIZADO,0 days 00:17:24,0 days 00:15:00
20250626-009-3777478,CADASTRADO,0 days 00:17:22,0 days 00:20:00
20250616-009-3673116,ATUALIZADO,0 days 00:02:59,0 days 00:03:00
20250604-009-3549558,ATUALIZADO,0 days 00:02:43,0 days 00:03:00
20250617-009-3684503,ATUALIZADO,0 days 00:02:02,0 days 00:03:00
20250408-009-2992620,ATUALIZADO,0 days 00:02:39,0 days 00:03:00
20250306-009-2715346,CADASTRADO,0 days 00:18:16,0 days 00:20:00
20250314-009-2782371,ATUALIZADO,0 days 00:02:40,0 days 00:03:00
20250605-009-3570699,CADASTRADO,0 days 00:02:46,0 days 00:20:00
20250407-009-2983056,ATUALIZADO,0 days 00:02:23,0 days 00:03:00
20250224-009-2639579,CADASTRADO,0 days 00:14:06,0 days 00:20:00
20250422-009-3114663,CADASTRADO,0 days 00:00:54,0 days 00:20:00
20250508-009-3259864,ATUALIZADO,0 days 00:02:52,0 days 00:03:00
20250228-009-2684507,ATUALIZADO,0 days 00:02:30,0 days 00:03:00
20250623-009-3741915,ATUALIZADO,0 days 00:02:27,0 days 00:03:00
20250401-009-2925341,ATUALIZADO,0 days 00:02:44,0 days 00:03:00
20250322-009-2846234,CADASTRADO,0 days 00:16:59,0 days 00:20:00
20250227-009-2673349,CADASTRADO,0 days 00:18:11,0 days 00:20:00
20250218-009-2582638,ATUALIZADO,0 days 00:02:42,0 days 00:03:00
20250407-009-2978868,ATUALIZADO,0 days 00:02:50,0 days 00:03:00
20250507-009-3247423,ATUALIZADO,0 days 00:02:46,0 days 00:03:00
20250221-009-2628970,CADASTRADO,0 days 00:14:01,0 days 00:20:00
20250530-009-3498361,ATUALIZADO,0 days 00:02:54,0 days 00:03:00
20250519-009-3369148,CADASTRADO,0 days 00:10:01,0 days 00:20:00
20250425-009-3150015,ATUALIZADO,0 days 00:02:29,0 days 00:03:00
20250426-009-3155900,CADASTRADO,0 days 00:13:22,0 days 00:20:00
20250506-009-3233029,ATUALIZADO,0 days 00:02:18,0 days 00:03:00
20250616-009-3671093,ATUALIZADO,0 days 00:02:01,0 days 00:03:00
20250515-009-3330347,CADASTRADO,0 days 12:33:43,0 days 02:00:00
20250402-009-2934567,ATUALIZADO,0 days 00:02:19,0 days 00:03:00
20250423-009-3120944,ATUALIZADO,0 days 00:02:48,0 days 00:03:00
20250529-009-3491720,CADASTRADO,0 days 02:06:13,0 days 02:00:00
20250501-009-3198501,CADASTRADO,0 days 00:12:12,0 days 00:20:00
20250310-009-2733076,ATUALIZADO,0 days 00:01:53,0 days 00:03:00
20250206-009-2485761,CADASTRADO,0 days 00:11:54,0 days 00:20:00
20250616-009-3679308,ATUALIZADO,0 days 00:02:35,0 days 00:03:00
20250310-009-2733050,ATUALIZADO,0 days 00:02:56,0 days 00:03:00
20250625-009-3770729,ATUALIZADO,0 days 00:01:59,0 days 00:03:00
20250611-009-3632776,ATUALIZADO,0 days 00:02:50,0 days 00:03:00
20250408-009-2992438,CADASTRADO,0 days 00:11:25,0 days 00:20:00
20250512-009-3299064,ATUALIZADO,0 days 00:02:17,0 days 00:03:00
20250311-009-2746677,ATUALIZADO,0 days 00:02:45,0 days 00:03:00
20250214-009-2562061,CADASTRADO,0 days 00:10:21,0 days 00:20:00
20250618-009-3699213,ATUALIZADO,0 days 00:02:59,0 days 00:03:00
20250310-009-2733044,ATUALIZADO,0 days 00:02:33,0 days 00:03:00
20250408-009-2989581,ATUALIZADO,0 days 00:02:36,0 days 00:03:00
20250317-009-2800677,ATUALIZADO,0 days 00:02:32,0 days 00:03:00
20250411-009-3039755,CADASTRADO,0 days 00:17:20,0 days 00:20:00
20250408-009-2995058,ATUALIZADO,0 days 00:02:52,0 days 00:03:00
20250603-009-3540474,ATUALIZADO,0 days 00:01:53,0 days 00:03:00
20250211-009-2515603,ATUALIZADO,0 days 00:02:45,0 days 00:03:00
20250310-009-2736298,ATUALIZADO,0 days 00:02:23,0 days 00:03:00
20250602-009-3513028,CADASTRADO,0 days 00:15:35,0 days 00:20:00
20250411-009-3030899,ATUALIZADO,0 days 00:02:51,0 days 00:03:00
20250606-009-3577562,ATUALIZADO,0 days 00:02:39,0 days 00:03:00
20250331-009-2906924,ATUALIZADO,0 days 00:15:57,0 days 00:15:00
20250610-009-3608403,ATUALIZADO,0 days 00:02:03,0 days 00:03:00
20250425-009-3155412,CADASTRADO,0 days 00:12:40,0 days 00:20:00
20250314-009-2786993,ATUALIZADO,0 days 00:02:38,0 days 00:03:00
20250623-009-3741972,ATUALIZADO,0 days 00:02:34,0 days 00:03:00
20250205-009-2466895,ATUALIZADO,0 days 00:29:55,0 days 00:15:00
20250214-009-2557661,ATUALIZADO,0 days 00:02:31,0 days 00:03:00
20250324-009-2853599,ATUALIZADO,0 days 00:02:37,0 days 00:03:00
20250528-009-3479891,AUDITADO - RECADASTRO,0 days 02:10:55,0 days 02:00:00
20250311-009-2746653,ATUALIZADO,0 days 00:02:29,0 days 00:03:00
20250409-009-3004885,CADASTRADO,0 days 00:11:11,0 days 00:20:00
20250324-009-2852708,ATUALIZADO,0 days 00:02:15,0 days 00:03:00
20250411-009-3031956,ATUALIZADO,0 days 00:26:26,0 days 00:15:00
20250625-009-3767777,ATUALIZADO,0 days 00:02:15,0 days 00:03:00
20250509-009-3275237,ATUALIZADO,0 days 00:02:31,0 days 00:03:00
20250219-009-2599996,CADASTRADO,0 days 00:13:15,0 days 00:20:00
20250218-009-2580030,ATUALIZADO,0 days 00:02:59,0 days 00:03:00
20250424-009-3144095,ATUALIZADO,0 days 00:02:42,0 days 00:03:00
20250226-009-2663540,CADASTRADO,0 days 00:11:16,0 days 00:20:00
20250605-009-3573695,CADASTRADO,0 days 00:18:53,0 days 00:20:00
20250423-009-3120980,ATUALIZADO,0 days 00:02:11,0 days 00:03:00
20250519-009-3361109,ATUALIZADO,0 days 00:02:16,0 days 00:03:00
20250612-009-3639870,ATUALIZADO,0 days 00:02:28,0 days 00:03:00
20250221-009-2622544,ATUALIZADO,0 days 00:02:26,0 days 00:03:00
20250512-009-3299656,REALIZADO,0 days 03:41:52,0 days 02:00:00
20250328-009-2892821,CADASTRADO,0 days 00:11:13,0 days 00:20:00
20250619-009-3710697,CADASTRADO,0 days 02:14:51,0 days 02:00:00
20250409-009-3002489,ATUALIZADO,0 days 00:01:46,0 days 00:03:00
20250611-009-3625589,CADASTRADO,0 days 00:14:53,0 days 00:20:00
20250618-009-3698348,ATUALIZADO,0 days 00:02:42,0 days 00:03:00
20250620-009-3721507,ATUALIZADO,0 days 02:56:23,0 days 02:00:00
20250617-009-3692142,ATUALIZADO,0 days 00:20:04,0 days 00:15:00
20250409-009-3004899,CADASTRADO,0 days 00:09:59,0 days 00:20:00
20250411-009-3030059,CADASTRADO,0 days 00:10:50,0 days 00:20:00
20250427-009-3156933,CADASTRADO,0 days 00:09:12,0 days 00:20:00
20250206-009-2485777,CADASTRADO,0 days 00:12:58,0 days 00:20:00
20250320-009-2830530,ATUALIZADO,0 days 00:02:37,0 days 00:03:00
20250529-009-3488092,ATUALIZADO,0 days 00:02:08,0 days 00:03:00
20250305-009-2697695,ATUALIZADO,0 days 00:02:54,0 days 00:03:00
20250107-009-2230783,ATUALIZADO,0 days 00:18:16,0 days 00:15:00
20250523-009-3429892,ATUALIZADO,0 days 00:19:49,0 days 00:15:00
20250529-009-3486592,CADASTRADO,0 days 00:16:50,0 days 00:20:00
20250224-009-2634190,CADASTRADO,0 days 00:14:40,0 days 00:20:00
20250319-009-2824825,ATUALIZADO,0 days 00:02:51,0 days 00:03:00
20250528-009-3468722,CADASTRADO,0 days 00:16:11,0 days 00:20:00
20250219-009-2600003,CADASTRADO,0 days 00:11:15,0 days 00:20:00
20250610-009-3611742,ATUALIZADO,0 days 00:02:25,0 days 00:03:00
20250313-009-2769091,ATUALIZADO,0 days 00:02:21,0 days 00:03:00
20250623-009-3734288,ATUALIZADO,0 days 00:02:57,0 days 00:03:00
20250314-009-2782060,ATUALIZADO,0 days 00:02:58,0 days 00:03:00
20250217-009-2577905,ATUALIZADO,0 days 00:02:59,0 days 00:03:00
20250618-009-3697774,CADASTRADO,0 days 00:10:49,0 days 00:20:00
20250425-009-3146332,ATUALIZADO,0 days 00:02:20,0 days 00:03:00
20250613-009-3657808,ATUALIZADO,0 days 00:02:49,0 days 00:03:00
20250611-009-3625062,ATUALIZADO,0 days 00:02:53,0 days 00:03:00
20250619-009-3711189,CADASTRADO,0 days 00:00:01,0 days 00:20:00
20250604-009-3555270,ATUALIZADO,0 days 00:01:44,0 days 00:03:00
20250425-009-3149994,ATUALIZADO,0 days 00:01:39,0 days 00:03:00
20250529-009-3487599,ATUALIZADO,0 days 00:02:50,0 days 00:03:00
20250509-009-3273926,ATUALIZADO,0 days 00:02:44,0 days 00:03:00
20250320-009-2830533,ATUALIZADO,0 days 00:02:26,0 days 00:03:00
20250602-009-3513029,CADASTRADO,0 days 00:12:16,0 days 00:20:00
20250422-009-3116604,CADASTRADO,0 days 00:15:46,0 days 00:20:00
20250409-009-3002604,ATUALIZADO,0 days 00:02:34,0 days 00:03:00
20250224-009-2639566,CADASTRADO,0 days 00:12:08,0 days 00:20:00
20250403-009-2952098,ATUALIZADO,0 days 00:02:55,0 days 00:03:00
20250611-009-3630020,ATUALIZADO,0 days 00:02:37,0 days 00:03:00
20250411-009-3032404,ATUALIZADO,0 days 00:02:32,0 days 00:03:00
20250407-009-2983742,CADASTRADO,0 days 00:18:52,0 days 00:20:00
20250314-009-2781898,ATUALIZADO,0 days 00:02:17,0 days 00:03:00
20250402-009-2941470,ATUALIZADO,0 days 00:20:43,0 days 00:15:00
20250312-009-2762711,ATUALIZADO,0 days 00:34:38,0 days 00:15:00
20250506-009-3231634,CADASTRADO,0 days 00:17:58,0 days 00:20:00
20250329-009-2901713,ATUALIZADO,0 days 00:42:20,0 days 00:15:00
20250507-009-3254769,ATUALIZADO,0 days 00:02:10,0 days 00:03:00
20250321-009-2838219,CADASTRADO,0 days 00:17:54,0 days 00:20:00
20250620-009-3721459,ATUALIZADO,0 days 00:02:32,0 days 00:03:00
20250510-009-3282566,CADASTRADO,0 days 00:14:41,0 days 00:20:00
20250527-009-3460136,CADASTRADO,0 days 00:18:41,0 days 00:20:00
20250405-009-2973894,ATUALIZADO,0 days 00:17:35,0 days 00:15:00
20250328-009-2900520,ATUALIZADO,0 days 00:02:25,0 days 00:03:00
20250220-009-2611705,ATUALIZADO,0 days 00:02:54,0 days 00:03:00
20250325-009-2861943,ATUALIZADO,0 days 00:02:33,0 days 00:03:00
20250603-009-3532417,ATUALIZADO,0 days 00:02:20,0 days 00:03:00
20250320-009-2827900,CADASTRADO,0 days 00:11:39,0 days 00:20:00
20250530-009-3497593,ATUALIZADO,0 days 00:01:05,0 days 00:03:00
20250218-009-2586419,CADASTRADO,0 days 00:15:46,0 days 00:20:00
20250407-009-2978262,ATUALIZADO,0 days 00:02:52,0 days 00:03:00
20250210-009-2510331,ATUALIZADO,0 days 00:02:33,0 days 00:03:00
20250616-009-3668089,CADASTRADO,0 days 00:16:04,0 days 00:20:00
20250408-009-2989574,ATUALIZADO,0 days 00:02:22,0 days 00:03:00
20250320-009-2827692,ATUALIZADO,0 days 00:02:43,0 days 00:03:00
20250623-009-3742019,ATUALIZADO,0 days 00:02:48,0 days 00:03:00
20250214-009-2560581,ATUALIZADO,0 days 00:02:17,0 days 00:03:00
20250428-009-3168188,ATUALIZADO,0 days 00:02:27,0 days 00:03:00
20250211-009-2518637,CADASTRADO,0 days 00:11:08,0 days 00:20:00
20250604-009-3551467,ATUALIZADO,0 days 00:01:39,0 days 00:03:00
20250314-009-2781631,ATUALIZADO,0 days 00:02:14,0 days 00:03:00
20250606-009-3579055,ATUALIZADO,0 days 00:02:14,0 days 00:03:00
20250313-009-2769274,ATUALIZADO,0 days 00:02:58,0 days 00:03:00
20250429-009-3174300,ATUALIZADO,0 days 00:02:48,0 days 00:03:00
20250606-009-3579059,ATUALIZADO,0 days 00:02:18,0 days 00:03:00
20250612-009-3639899,ATUALIZADO,0 days 00:02:17,0 days 00:03:00
20250617-009-3684493,ATUALIZADO,0 days 00:24:23,0 days 00:15:00
20250314-009-2781900,ATUALIZADO,0 days 00:02:30,0 days 00:03:00
20250310-009-2733051,ATUALIZADO,0 days 00:02:06,0 days 00:03:00
20250327-009-2887670,ATUALIZADO,0 days 00:02:33,0 days 00:03:00
20250620-009-3721568,ATUALIZADO,0 days 00:02:52,0 days 00:03:00
20250422-009-3106838,ATUALIZADO,0 days 00:02:34,0 days 00:03:00
20250220-009-2615536,ATUALIZADO,0 days 00:02:13,0 days 00:03:00
20250612-009-3644114,ATUALIZADO,0 days 00:00:19,0 days 00:03:00
20250524-009-3434831,ATUALIZADO,0 days 00:01:34,0 days 00:03:00
20250307-009-2717757,ATUALIZADO,0 days 00:01:53,0 days 00:03:00
20250502-009-3201409,ATUALIZADO,0 days 00:01:54,0 days 00:03:00
20250424-009-3131716,CADASTRADO,0 days 00:10:36,0 days 00:20:00
20250627-009-3791962,ATUALIZADO,0 days 00:02:27,0 days 00:03:00
20250508-009-3270258,CADASTRADO,0 days 00:10:03,0 days 00:20:00
20250610-009-3608412,ATUALIZADO,0 days 00:02:14,0 days 00:03:00
20250318-009-2806386,ATUALIZADO,0 days 00:02:07,0 days 00:03:00
20250328-009-2894066,ATUALIZADO,0 days 00:02:37,0 days 00:03:00
20250613-009-3657795,ATUALIZADO,0 days 00:02:26,0 days 00:03:00
20250603-009-3535702,ATUALIZADO,0 days 00:02:15,0 days 00:03:00
20250623-009-3741950,ATUALIZADO,0 days 00:02:24,0 days 00:03:00
